id,species,genotype,site,subsystem,tank,rack,qty
,SR,SR720,Mote Summerland,All Summerland,G5,R209,1
,SR,SR721,Mote Summerland,All Summerland,G5,R209,1
,SH,SH34,Mote Summerland,All Summerland,G5,R275,1
,SH,SH35,Mote Summerland,All Summerland,G5,R275,1
,SH,SH36,Mote Summerland,All Summerland,G5,R275,1
,SH,SH37,Mote Summerland,All Summerland,G5,R275,1
,SB,SB2,Mote Summerland,All Summerland,G5,R1574,1
,SH,SH38,Mote Summerland,All Summerland,G5,R1574,1
,SH,SH39,Mote Summerland,All Summerland,G5,R1574,1
,SH,SH40,Mote Summerland,All Summerland,G5,R1574,1
,SB,SB3,Mote Summerland,All Summerland,G6,R654,1
,SH,SH41,Mote Summerland,All Summerland,G6,R654,1
,SH,SH42,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH43,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH44,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH45,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH46,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH47,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH48,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH49,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH50,Mote Summerland,All Summerland,G6,R1123,1
,SH,SH69,Mote Summerland,All Summerland,G5,R1918,1
,SH,SH51,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH52,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH53,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH54,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH55,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH56,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH57,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH58,Mote Summerland,All Summerland,G6,R1503,1
,SH,SH60,Mote Summerland,All Summerland,G6,R384,1
,SH,SH61,Mote Summerland,All Summerland,G6,R384,1
,SH,SH62,Mote Summerland,All Summerland,G6,R384,1
,SH,SH63,Mote Summerland,All Summerland,G6,R384,1
,SH,SH64,Mote Summerland,All Summerland,G6,R384,1
,SH,SH65,Mote Summerland,All Summerland,G6,R384,1
,SH,SH66,Mote Summerland,All Summerland,G6,R384,1
,SH,SH67,Mote Summerland,All Summerland,G6,R384,1
,SH,SH68,Mote Summerland,All Summerland,G6,R384,1
,SS,SS529,Mote Summerland,All Summerland,G5,R810,1
,SS,SS530,Mote Summerland,All Summerland,G5,R810,1
,SS,SS531,Mote Summerland,All Summerland,G5,R810,1
,SS,SS532,Mote Summerland,All Summerland,G5,R810,1
,SS,SS533,Mote Summerland,All Summerland,G5,R810,1
,SS,SS534,Mote Summerland,All Summerland,G5,R810,1
,SS,SS535,Mote Summerland,All Summerland,G5,R810,1
,SS,SS536,Mote Summerland,All Summerland,G5,R810,1
,SS,SS537,Mote Summerland,All Summerland,G5,R810,1
,SS,SS538,Mote Summerland,All Summerland,G5,R810,1
,SS,SS539,Mote Summerland,All Summerland,G5,R810,1
,SS,SS540,Mote Summerland,All Summerland,G5,R810,1
,SS,SS541,Mote Summerland,All Summerland,G5,R810,1
,SS,SS542,Mote Summerland,All Summerland,G5,R810,1
,SS,SS543,Mote Summerland,All Summerland,G5,R623,1
,SS,SS544,Mote Summerland,All Summerland,G5,R623,1
,SS,SS545,Mote Summerland,All Summerland,G5,R623,1
,SS,SS546,Mote Summerland,All Summerland,G5,R623,1
,SS,SS547,Mote Summerland,All Summerland,G5,R623,1
,SS,SS548,Mote Summerland,All Summerland,G5,R623,1
,SS,SS549,Mote Summerland,All Summerland,G5,R623,1
,SS,SS550,Mote Summerland,All Summerland,G5,R623,1
,SS,SS551,Mote Summerland,All Summerland,G5,R623,1
,SS,SS552,Mote Summerland,All Summerland,G5,R623,1
,SS,SS553,Mote Summerland,All Summerland,G5,R623,1
,SS,SS554,Mote Summerland,All Summerland,G5,R623,1
,SS,SS555,Mote Summerland,All Summerland,G5,R623,1
,SS,SS556,Mote Summerland,All Summerland,G5,R623,1
,SS,SS557,Mote Summerland,All Summerland,G5,R623,1
,SS,SS558,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS559,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS560,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS561,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS562,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS563,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS564,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS565,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS566,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS567,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS568,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS569,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS570,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS571,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS572,Mote Summerland,All Summerland,G5,R1692,1
,SS,SS573,Mote Summerland,All Summerland,G5,R833,1
,SS,SS574,Mote Summerland,All Summerland,G5,R833,1
,SS,SS575,Mote Summerland,All Summerland,G5,R833,1
,SS,SS576,Mote Summerland,All Summerland,G5,R833,1
,SS,SS577,Mote Summerland,All Summerland,G5,R833,1
,SS,SS578,Mote Summerland,All Summerland,G5,R833,1
,SS,SS579,Mote Summerland,All Summerland,G5,R833,1
,SS,SS580,Mote Summerland,All Summerland,G5,R833,1
,SS,SS581,Mote Summerland,All Summerland,G5,R833,1
,SS,SS582,Mote Summerland,All Summerland,G5,R833,1
,SS,SS583,Mote Summerland,All Summerland,G5,R833,1
,SS,SS584,Mote Summerland,All Summerland,G5,R833,1
,SS,SS585,Mote Summerland,All Summerland,G5,R833,1
,SS,SS586,Mote Summerland,All Summerland,G5,R833,1
,SS,SS587,Mote Summerland,All Summerland,G5,R833,1
,SS,SS588,Mote Summerland,All Summerland,G6,R584,1
,SS,SS589,Mote Summerland,All Summerland,G6,R584,1
,SS,SS590,Mote Summerland,All Summerland,G6,R584,1
,SS,SS591,Mote Summerland,All Summerland,G6,R584,1
,SS,SS592,Mote Summerland,All Summerland,G6,R584,1
,SS,SS593,Mote Summerland,All Summerland,G6,R584,1
,SS,SS594,Mote Summerland,All Summerland,G6,R584,1
,SS,SS595,Mote Summerland,All Summerland,G6,R584,1
,SS,SS596,Mote Summerland,All Summerland,G6,R584,1
,SS,SS597,Mote Summerland,All Summerland,G6,R584,1
,SS,SS598,Mote Summerland,All Summerland,G6,R584,1
,SS,SS599,Mote Summerland,All Summerland,G6,R584,1
,SS,SS600,Mote Summerland,All Summerland,G6,R584,1
,SS,SS601,Mote Summerland,All Summerland,G6,R584,1
,SS,SS602,Mote Summerland,All Summerland,G6,R584,1
,SS,SS603,Mote Summerland,All Summerland,G6,R598,1
,SS,SS604,Mote Summerland,All Summerland,G6,R598,1
,SS,SS605,Mote Summerland,All Summerland,G6,R598,1
,SS,SS606,Mote Summerland,All Summerland,G6,R598,1
,SS,SS607,Mote Summerland,All Summerland,G6,R598,1
,SS,SS608,Mote Summerland,All Summerland,G6,R598,1
,SS,SS609,Mote Summerland,All Summerland,G6,R598,1
,SS,SS610,Mote Summerland,All Summerland,G6,R598,1
,SS,SS611,Mote Summerland,All Summerland,G6,R598,1
,SS,SS612,Mote Summerland,All Summerland,G6,R598,1
,SS,SS613,Mote Summerland,All Summerland,G6,R698,1
,SS,SS614,Mote Summerland,All Summerland,G6,R698,1
,SS,SS615,Mote Summerland,All Summerland,G6,R698,1
,SS,SS616,Mote Summerland,All Summerland,G6,R698,1
,SS,SS617,Mote Summerland,All Summerland,G6,R698,1
,SS,SS618,Mote Summerland,All Summerland,G6,R698,1
,SS,SS619,Mote Summerland,All Summerland,G6,R698,1
,SS,SS620,Mote Summerland,All Summerland,G6,R894,1
,SS,SS621,Mote Summerland,All Summerland,G6,R894,1
,SS,SS622,Mote Summerland,All Summerland,G6,R894,1
,SS,SS623,Mote Summerland,All Summerland,G6,R894,1
,SS,SS624,Mote Summerland,All Summerland,G6,R894,1
,SS,SS625,Mote Summerland,All Summerland,G6,R894,1
,SS,SS626,Mote Summerland,All Summerland,G6,R894,1
,SS,SS627,Mote Summerland,All Summerland,G6,R894,1
,SS,SS628,Mote Summerland,All Summerland,G6,R894,1
,SS,SS629,Mote Summerland,All Summerland,G6,R894,1
,SS,SS630,Mote Summerland,All Summerland,G6,R894,1
,SS,SS631,Mote Summerland,All Summerland,G6,R894,1
,SS,SS632,Mote Summerland,All Summerland,G6,R620,1
,SS,SS633,Mote Summerland,All Summerland,G6,R620,1
,SS,SS634,Mote Summerland,All Summerland,G6,R620,1
,SS,SS635,Mote Summerland,All Summerland,G6,R620,1
,SS,SS636,Mote Summerland,All Summerland,G6,R620,1
,SS,SS637,Mote Summerland,All Summerland,G6,R620,1
,SS,SS638,Mote Summerland,All Summerland,G6,R620,1
,SS,SS639,Mote Summerland,All Summerland,G6,R620,1
,SS,SS640,Mote Summerland,All Summerland,G6,R620,1
,SS,SS641,Mote Summerland,All Summerland,G6,R620,1
,SS,SS642,Mote Summerland,All Summerland,G6,R323,1
,SS,SS643,Mote Summerland,All Summerland,G6,R323,1
,SS,SS644,Mote Summerland,All Summerland,G6,R323,1
,SS,SS645,Mote Summerland,All Summerland,G6,R323,1
,SS,SS646,Mote Summerland,All Summerland,G6,R323,1
,SS,SS647,Mote Summerland,All Summerland,G6,R323,1
,SS,SS648,Mote Summerland,All Summerland,G6,R323,1
,SS,SS649,Mote Summerland,All Summerland,G6,R323,1
,SS,SS650,Mote Summerland,All Summerland,G6,R323,1
,SS,SS651,Mote Summerland,All Summerland,G6,R323,1
,SS,SS652,Mote Summerland,All Summerland,G6,R323,1
,SS,SS653,Mote Summerland,All Summerland,G6,R323,1
,SS,SS654,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS655,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS656,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS657,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS658,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS659,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS660,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS661,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS662,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS663,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS664,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS665,Mote Summerland,All Summerland,G6,R1129,1
,SS,SS666,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS667,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS668,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS669,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS670,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS671,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS672,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS673,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS674,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS675,Mote Summerland,All Summerland,G6,R1885,1
,SS,SS676,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS677,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS678,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS679,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS680,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS681,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS682,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS683,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS684,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS685,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS686,Mote Summerland,All Summerland,G6,R1193,1
,SS,SS687,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS688,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS689,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS690,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS691,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS692,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS693,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS694,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS695,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS696,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS697,Mote Summerland,All Summerland,G6,R1011,1
,SS,SS698,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS699,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS700,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS701,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS702,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS703,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS704,Mote Summerland,All Summerland,G6,R1431,1
,SS,SS705,Mote Summerland,All Summerland,G6,R359,1
,SS,SS706,Mote Summerland,All Summerland,G6,R359,1
,SS,SS707,Mote Summerland,All Summerland,G6,R359,1
,SS,SS708,Mote Summerland,All Summerland,G6,R359,1
,SS,SS709,Mote Summerland,All Summerland,G6,R359,1
,SS,SS710,Mote Summerland,All Summerland,G6,R359,1
,SS,SS711,Mote Summerland,All Summerland,G6,R359,1
,SS,SS712,Mote Summerland,All Summerland,G6,R359,1
,SS,SS713,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS714,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS715,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS716,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS717,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS718,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS719,Mote Summerland,All Summerland,G6,R1941,1
,SS,SS720,Mote Summerland,All Summerland,G6,R1941,1
,SR,SR722,Mote Summerland,All Summerland,G5,R209,1
,SR,SR723,Mote Summerland,All Summerland,G5,R275,1
,SH,SH59,Mote Summerland,All Summerland,G6,R654,1
,OF,OF976,Mote Summerland,All Summerland,B3,R1921,1
,AC,AC2935,Mote Key Largo [In Situ],,,Blue55,1
,AC,AC2936,Mote Key Largo [In Situ],,,Blue55,1
,AP,AP19,Mote Key Largo [In Situ],,,Blue44,1
,RADIANS,SR253,Mote Summerland,All Summerland,G8,R1570,0
,INTERSEPTA,SI210,Mote Summerland,All Summerland,G8,R1460,0
,DL,DL231,Mote Summerland,All Summerland,F5,R154,-6
,DL,DL5,Mote Summerland,All Summerland,F5,R909,-9
