id,species,genotype,site,subsystem,tank,rack,qty,size
,SIDEREA,SS121,Mote Islamorada,,G16,R135,57,0.5
,MC,MC111,Mote Summerland,All Summerland,F4,R1411,57,0.5
,OF,OF947,Mote Islamorada [In Situ],,,Blue05,57,0
,OF,OF1034,Mote Islamorada [In Situ],,,Red82,57,0
,OF,OF924,Mote Looe Key [In Situ],,,OF-924,57,0
,DL,DL17,Mote Looe Key [In Situ],,,DL MIX1,57,0
,PC,PC31,Mote Looe Key [In Situ],,,PC-31,57,0
,OF,OF982,Mote Summerland,All Summerland,C6,R1298,56,0.75
,PC,PC19,Mote Summerland,All Summerland,F4,R1221,56,0.75
,OF,OF995,Mote Summerland,All Summerland,Q10,R365,56,0.5
,SIDEREA,SS160,Mote Summerland,All Summerland,C2,R870,56,0.25
,INTERSEPTA,SI32,Mote Summerland,All Summerland,D1,R749,56,0.25
,AP,AP121,Mote Key Largo,,G14,R146,56,0.25
,AP,AP26,Mote Key Largo,,G3,R148,56,0.75
,AP,AP124,Mote Key Largo,,G16,R273,56,0.25
,FRANKSI,OK1,Mote Summerland,All Summerland,A6,R1623,56,0.25
,AP,AP23,Mote Key Largo,,G15,R295,56,0.25
,AP,AP7,Mote Key Largo,,G9,R94,56,0.25
,MC,MC206,Mote Summerland,All Summerland,B2,R1203,56,0.5
,DL,DL183,Mote Summerland,All Summerland,B6,R1253,56,0.5
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C5,R1139,56,0.5
,AP,AP7,Mote Key Largo,,G15,R246,56,0.25
,OF,OF999,Mote Summerland,All Summerland,D3,R969,56,0.25
,SB,SB13,Mote Summerland,All Summerland,A4,R6,56,0.25
,OA,OA10,Mote Looe Key [In Situ],,,OA MIX1,56,0
,OF,OF980,Mote Summerland,All Summerland,E6,R1026,55,0.75
,OF,OF686,Mote Summerland,All Summerland,D5,R223,55,0.5
,OF,OF999,Mote Summerland,All Summerland,C2,R1209,55,0.25
,OF,OF1006,Mote Summerland,All Summerland,D2,R121,55,0.5
,OF,OF985,Mote Summerland,All Summerland,D3,R420,55,0.5
,OF,OF1004,Mote Summerland,All Summerland,C5,R402,55,0.25
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R1004,55,0.75
,OF,OF995,Mote Summerland,All Summerland,E1,R1243,55,0.5
,ASTREOIDES,PA64,Mote Summerland,All Summerland,C3,R1255,55,0.25
,OF,OF1002,Mote Islamorada,,G16,R166,55,0.25
,AP,AP122,Mote Key Largo,,G14,R69,55,0.25
,AP,AP8,Mote Key Largo,,G5,R305,55,0.5
,AP,AP37,Mote Key Largo,,G9,R218,55,0.5
,AP,AP13,Mote Key Largo,,G9,R51,55,0.25
,AP,AP23,Mote Key Largo,,G15,R153,55,0.25
,AP,AP41,Mote Key Largo,,G17,R182,55,0.25
